,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Nuevo Mexico,MX,76.37,53,75,3.36,20.75,-103.43
1,Kurganinsk,RU,57.38,47,0,3.74,44.88,40.6
2,Lishu,CN,47.68,93,100,2.77,43.3,124.33
3,Lembeni,TZ,66.24,76,39,6.35,-3.78,37.62
4,Bacabal,BR,94.59,39,84,3.76,-4.29,-44.79
5,Ngudu,TZ,76.62,51,85,5.37,-2.97,33.33
6,Namyang-dong,KP,44.62,94,0,2.82,42.95,129.87
7,Ogaki,JP,69.49,73,75,13.87,35.35,136.62
8,Bilsi,IN,84.18,61,100,2.93,28.13,78.92
9,Lamia,GR,62.82,82,0,0.47,38.9,22.43
10,Hautmont,FR,58.73,59,67,1.01,50.25,3.92
11,Solin,HR,68.31,64,83,3.36,43.55,16.5
12,Tullahoma,US,76.03,44,75,8.05,35.36,-86.21
13,Hammamet,DZ,71.6,46,40,2.24,35.45,7.95
14,Suileng,CN,42.91,90,0,3.71,47.25,127.08
15,Tagbilaran City,PH,82.09,76,100,3.27,9.65,123.85
16,Cahul,MD,59.74,57,1,4.81,45.91,28.19
17,Itogon,PH,71.74,79,0,5.21,16.32,120.73
18,Saguenay,CA,54.23,37,20,9.17,48.42,-71.07
19,Tilhar,IN,84.25,63,54,3.47,27.98,79.73
20,San Pedro,AR,73.4,20,0,11.41,-24.23,-64.87
21,Guiset East,PH,75.52,82,0,3.96,16.07,120.68
22,Reoti,IN,84.74,70,76,3.8,25.85,84.38
23,Upleta,IN,78.85,88,100,3.29,21.73,70.28
24,Salmon Creek,US,70.18,53,40,4.7,45.71,-122.65
25,Cosenza,IT,72.72,94,0,2.24,39.31,16.25
26,Art Khwajah,AF,56.98,48,0,1.59,37.09,69.48
27,Mobile,US,65.25,100,90,13.87,30.78,-88.2
28,Shilovo,RU,44.01,60,96,9.6,54.32,40.87
29,Digras,IN,78.48,83,100,4.68,20.12,77.72
30,Orhangazi,TR,67.98,82,75,9.6,40.49,29.31
31,Concepcion,PY,81.61,30,5,11.23,-23.41,-57.43
32,Ambattur,IN,78.8,74,75,5.82,13.1,80.16
33,Pelhrimov,CZ,53.91,81,0,9.08,49.43,15.22
34,Gashua,NG,89.38,48,79,10.76,12.87,11.05
35,Yatsuo,JP,66.7,87,100,1.7,36.57,137.13
36,Bulanik,TR,61.57,31,0,2.08,39.09,42.27
37,Beolgyo,KR,59.38,69,0,4.09,34.84,127.34
38,Petauke,ZM,74.61,27,0,9.91,-14.24,31.33
39,General Tinio,PH,78.8,88,75,4.7,15.35,121.05
